subject_id,frame_paths,n_frames,metadata,ra,dec
3855065,"['data/backyard_worlds/subjects_examined/subject_3855065/frame_00.png', 'data/backyard_worlds/subjects_examined/subject_3855065/frame_01.png', 'data/backyard_worlds/subjects_examined/subject_3855065/frame_02.png', 'data/backyard_worlds/subjects_examined/subject_3855065/frame_03.png']",4,"{'id': '41', 'image0': 'unwise-1342m076.5.0.0.png', 'image1': 'unwise-1342m076.5.0.1.png', 'image2': 'unwise-1342m076.5.0.2.png', 'image3': 'unwise-1342m076.5.0.3.png'}",,
3855066,"['data/backyard_worlds/subjects_examined/subject_3855066/frame_00.png', 'data/backyard_worlds/subjects_examined/subject_3855066/frame_01.png', 'data/backyard_worlds/subjects_examined/subject_3855066/frame_02.png', 'data/backyard_worlds/subjects_examined/subject_3855066/frame_03.png']",4,"{'id': '42', 'image0': 'unwise-1342m076.5.1.0.png', 'image1': 'unwise-1342m076.5.1.1.png', 'image2': 'unwise-1342m076.5.1.2.png', 'image3': 'unwise-1342m076.5.1.3.png'}",,
3855067,"['data/backyard_worlds/subjects_examined/subject_3855067/frame_00.png', 'data/backyard_worlds/subjects_examined/subject_3855067/frame_01.png', 'data/backyard_worlds/subjects_examined/subject_3855067/frame_02.png', 'data/backyard_worlds/subjects_examined/subject_3855067/frame_03.png']",4,"{'id': '43', 'image0': 'unwise-1342m076.5.2.0.png', 'image1': 'unwise-1342m076.5.2.1.png', 'image2': 'unwise-1342m076.5.2.2.png', 'image3': 'unwise-1342m076.5.2.3.png'}",,
3855068,"['data/backyard_worlds/subjects_examined/subject_3855068/frame_00.png', 'data/backyard_worlds/subjects_examined/subject_3855068/frame_01.png', 'data/backyard_worlds/subjects_examined/subject_3855068/frame_02.png', 'data/backyard_worlds/subjects_examined/subject_3855068/frame_03.png']",4,"{'id': '44', 'image0': 'unwise-1342m076.5.3.0.png', 'image1': 'unwise-1342m076.5.3.1.png', 'image2': 'unwise-1342m076.5.3.2.png', 'image3': 'unwise-1342m076.5.3.3.png'}",,
3855069,"['data/backyard_worlds/subjects_examined/subject_3855069/frame_00.png', 'data/backyard_worlds/subjects_examined/subject_3855069/frame_01.png', 'data/backyard_worlds/subjects_examined/subject_3855069/frame_02.png', 'data/backyard_worlds/subjects_examined/subject_3855069/frame_03.png']",4,"{'id': '45', 'image0': 'unwise-1342m076.5.4.0.png', 'image1': 'unwise-1342m076.5.4.1.png', 'image2': 'unwise-1342m076.5.4.2.png', 'image3': 'unwise-1342m076.5.4.3.png'}",,
3855070,"['data/backyard_worlds/subjects_examined/subject_3855070/frame_00.png', 'data/backyard_worlds/subjects_examined/subject_3855070/frame_01.png', 'data/backyard_worlds/subjects_examined/subject_3855070/frame_02.png', 'data/backyard_worlds/subjects_examined/subject_3855070/frame_03.png']",4,"{'id': '46', 'image0': 'unwise-1342m076.5.5.0.png', 'image1': 'unwise-1342m076.5.5.1.png', 'image2': 'unwise-1342m076.5.5.2.png', 'image3': 'unwise-1342m076.5.5.3.png'}",,
3855071,"['data/backyard_worlds/subjects_examined/subject_3855071/frame_00.png', 'data/backyard_worlds/subjects_examined/subject_3855071/frame_01.png', 'data/backyard_worlds/subjects_examined/subject_3855071/frame_02.png', 'data/backyard_worlds/subjects_examined/subject_3855071/frame_03.png']",4,"{'id': '47', 'image0': 'unwise-1342m076.5.6.0.png', 'image1': 'unwise-1342m076.5.6.1.png', 'image2': 'unwise-1342m076.5.6.2.png', 'image3': 'unwise-1342m076.5.6.3.png'}",,
3855072,"['data/backyard_worlds/subjects_examined/subject_3855072/frame_00.png', 'data/backyard_worlds/subjects_examined/subject_3855072/frame_01.png', 'data/backyard_worlds/subjects_examined/subject_3855072/frame_02.png', 'data/backyard_worlds/subjects_examined/subject_3855072/frame_03.png']",4,"{'id': '48', 'image0': 'unwise-1342m076.5.7.0.png', 'image1': 'unwise-1342m076.5.7.1.png', 'image2': 'unwise-1342m076.5.7.2.png', 'image3': 'unwise-1342m076.5.7.3.png'}",,
3855073,"['data/backyard_worlds/subjects_examined/subject_3855073/frame_00.png', 'data/backyard_worlds/subjects_examined/subject_3855073/frame_01.png', 'data/backyard_worlds/subjects_examined/subject_3855073/frame_02.png', 'data/backyard_worlds/subjects_examined/subject_3855073/frame_03.png']",4,"{'id': '49', 'image0': 'unwise-1342m076.6.0.0.png', 'image1': 'unwise-1342m076.6.0.1.png', 'image2': 'unwise-1342m076.6.0.2.png', 'image3': 'unwise-1342m076.6.0.3.png'}",,
3855074,"['data/backyard_worlds/subjects_examined/subject_3855074/frame_00.png', 'data/backyard_worlds/subjects_examined/subject_3855074/frame_01.png', 'data/backyard_worlds/subjects_examined/subject_3855074/frame_02.png', 'data/backyard_worlds/subjects_examined/subject_3855074/frame_03.png']",4,"{'id': '50', 'image0': 'unwise-1342m076.6.1.0.png', 'image1': 'unwise-1342m076.6.1.1.png', 'image2': 'unwise-1342m076.6.1.2.png', 'image3': 'unwise-1342m076.6.1.3.png'}",,
